"zi","total_curse","curse_normale","curse_suspecte","verificate","detectate","nedetectate"
355,452,452,0,108,0,0
356,371,371,0,51,0,0
357,341,340,1,35,0,1
358,307,305,2,18,0,2
359,255,255,0,13,0,0
360,338,337,1,33,0,1
361,269,268,1,13,0,1
362,449,445,4,106,1,3
363,413,411,2,79,0,2
364,426,421,5,88,1,4
365,488,486,2,139,1,1
